full_text,sentimen,detokenize_text
@merseysideliv @strike_bravo_b Yes pemerataan itu urusan di atas meja. Mana-mana yang mau dijadikan prioritas bisa ditentukan dari mana saja. Coba saja biaya IKN kemarin jadi bantuan ke daerah-daerah bisa dapat berapa panjang jalan atau berapa saluran iri,Negatif,yes perata urus meja prioritas coba biaya ikn kemarin bantu daerah daerah jalan salur iri
@UGM_FESS IKN bakala di lanjutin tapi untuk keperluan lain soalnya masih banyak yang lebih urgent,Negatif,ikn urgent
@UGM_FESS Lebih takut makin banyak anggaran kebuanh buat proyek mercusuar ga sih? Bikin masjid di IKN aja hampir 1T.,Negatif,takut anggar buang proyek mercusuar bikin masjid ikn triliun
@kompascom Kebaca lah. Klo misal beneran meroket mungkin presiden lebih sibuk fokus di IKN daripada maksi bersama,Negatif,baca beneran roket presiden sibuk fokus ikn makan siang
@dr_koko28 @jokowi @Kiyai_MarufAmin Gak nampak legacy kaya gitu pak dokter IKN tetep andalan!,Negatif,nampak legacy kaya dokter ikn andal
Rabu Indonesia 31 Januari #DemiIndonesia PEMILU Presiden RI APBN BUMN IKN Nusantara 0 KM 2024 Reformasi Belum Selesai SHP PIN Merah Putih #stamps #philately #gallery #art Rp 1 M Reformasi 09.09.99:09 Asembagus 68373 Sembilan Sembilan Situbondo Tapal Kuda Jawa Timur X Y Z https://t.co/4tFMo33BhK,Positif,rabu indonesia januari indonesia milu presiden apbn bumn ikn nusantara reformasi selesai shp pin merah putih stamps philately gallery art miliar reformasi asembagus sembilan sembilan situbondo tapal kuda jawa timur
Cerita Rozikin Awardee Beasiswa S2 LPDP yang Ingin Jadi Dosen Teknik Mesin di IKN https://t.co/jgq4suRAPf,Positif,cerita rozikin awardee beasiswa lpdp dosen teknik mesin ikn
@ahmed_maulana88 @kumparan Makanya jangan dukung mereka Kalimantan dibodohi dengan IKN yg hanya nguntungin pejabat aja sudah jadi pun IKN hanya kantor presiden dan ASN bukan tempat tinggal rakyat,Negatif,dukung kalimantan bodoh ikn nguntungin jabat ikn kantor presiden asn tinggal rakyat
IKN !!! Penampakan View Rumah Tapak Jabatan Menteri di KIPP IKN terkini https://t.co/k3KMe8O8RZ via @YouTube,Positif,ikn view rumah tapak jabat menteri kipp ikn via
@UGM_FESS Menurt aku 01 itu mendahulukan prioritas dan mungkin akan tinjau ulang pembangunan IKN ini memang IKN sudah digagas dri lama tapi blum juga direalisasikan brrti ada yg lebih dan harus diprioritaskan dulu,Negatif,prioritas tinjau ulang bangun ikn ikn gagas realisasi arti prioritas
Apa Itu Pola Kerja Digital yang Diterapkan untuk Fase Pertama Pemindahan ASN ke IKN Nusantara? #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #ASNpindahIKN https://t.co/eOsNiaXHJr lewat @tribunkaltim,Positif,pola kerja digital terap fase pindah asn ikn nusantara ikn iknnusantara ibukotanegara ikn kaltim kalimantantimur asn pindah ikn
@AiraNtieReal Yang dibutuhkn solusi kang @ridwankamil pemuda pemudi harapan bangsa mereka punya hak Dan masa depannya dan negara harusnya hadir disitu. Bukan diajarkan berhutang hanya sekedar omon omon. Untuk apa IKN sementara anak bangsa di pinjolkan? Wa,Negatif,butuh solusi kang pemuda pemudi harap bangsa hak negara hadir situ ajar hutang dar omong omong ikn anak bangsa pinjolkan
@Hansunriko IKN Nusantara🇮🇩️,Negatif,ikn nusantara
@dyingmagnolia_ @MrxStaein52986 @UGM_FESS yang ada di kalimantan khususnya daerah sekitar ikn baru muncul setelah uu ikn. dengan dibangun ikn karena bakal muncul satu pusat kota baru ekonomi daerah sekitarnya justru bakal berdampak banget. apalagi masalah,Positif,kalimantan khusus daerah ikn muncul ikn bangun ikn muncul pusat kota ekonomi daerah dampak
@kogoromilenial @RTPVX_ @ridwankamil Jakarta gak mau dia kirim aja ke IKN.,Negatif,jakarta kirim ikn
IKN mantap,Positif,ikn mantap
@dyingmagnolia_ @MrxStaein52986 @UGM_FESS orang di jalanan. sesepi itu. makanya butuh insentif untuk transmigrasi. kalimantan timur baru sering naik ke publik untuk diperbincangkan setelah ada ikn. jalur kereta kalimantan yang bakal dibangun di 2025 juga,Positif,orang jalan sep butuh insentif transmigrasi kalimantan timur publik bincang ikn jalur kereta kalimantan bangun
@Hansunriko Dukung IKN,Positif,dukung ikn
@dyingmagnolia_ @MrxStaein52986 @UGM_FESS karena orangnya kurang kak. kalo dari sisi investor gaada timbal balik yang mungkin didapat kalo bangun ini itu di wilayah sekitar ikn (penajam paser kukar) karena orangnya terlalu dikit. dengan adanya ikn yang me,Negatif,orang kak sisi investor timbal bangun wilayah ikn najam paser kukar orang dikit ikn
@Nidyna10 IKN jos,Positif,ikn jos
@Akomeng6 Mantap IKN,Positif,mantap ikn
bagaimana kalau dana masjid 1 T di ikn dipake buat beasiswa aja bu?,Negatif,dana masjid triliun ikn pakai beasiswa
@UGM_FESS Banyak bgt yg kena framming soal 01 gak mau lanjutin IKN lah anti hilirisasi lah. Pdhl sdh dijelaskan berkali2 bahkan soal hilirisasi ada di visi misinya. Tp lawan politik yg selama ini main framming dan banyak jg yg memakannya mentah2.,Negatif,kena framming ikn anti hilir kali hilir visi misi lawan politik main framming makan mentah
@jackstr20802415 @KompasTV @prabowo Lah bukannya IKN masih perlu banyak investor asing? Kok jadi plin-plan gini https://t.co/2yvpv0UOC3,Negatif,ikn investor asing plin plan gin
@CNNIndonesia Bagaimana bila dimulai dari Presiden beserta seluruh anggota kabinetnya dites untuk ditempatkan di IKN sampai masa jabatan berakhir. Hanya saran lo yaa jangan baper.....,Negatif,presiden anggota kabinet tes ikn jabat saran baper
@manasayatahoe wes cabut ok ikn,Negatif,wes cabut ikn
@FaraayuM @kompascom @AbanggSayur Lagian Lu juga kaga di ajak di IKN,Negatif,kaga ajak ikn
IKN Nusantara🇮🇩 Menteri Basuki menjelaskan China kini sudah mempunyai teknologi kereta tanpa rel. Studi banding pun dilakukan untuk mempelajari hal tersebut. Maklum pembuatan kereta tanpa rel itu memang melibatkan perusahaan dari Negeri Tirai Bambu. _ Pondok Ranji Uzbekistan https://t.co/Ez3Z7j5RwW,Negatif,ikn nusantara menteri basuki china teknologi kereta rel studi banding laku ajar maklum kereta rel libat usaha negeri tirai bambu pondok ranji uzbekistan
@KompasTV Kpk sekarang ada dibawah presiden emang kpk punya nyali bisa2 pegawainya di mutasi ke ikn,Negatif,kpk presiden kpk nyali pegawai mutasi ikn
@MrxStaein52986 @UGM_FESS padahal di sini produksi tambangnya paling besar di Indonesia tapi hasilnya gapernah ke masyarakat sekitar. Sebenernya ya gausah dari sisi investor pemerintahnya yang ga pernah perhatiin kota2 di kalimantan. Dengan dibangun IKN g,Negatif,produksi tambang indonesia hasil gapernah masyarakat sebenernya gausah sisi investor perintah perhatiin kota kalimantan bangun ikn
@Ilustrator23 @kompascom @AbanggSayur Sapa bilang?? Lu aja kali gw kaga wkwk. Blunder amat tuh pilihnlu tu kmrin gk mau nerusin IKN mnding bngun 40 kota skrg ikut²n. Tiap bulan gnti trs nih yg mna btul tukang sayur,Negatif,sapa bilang kali kaga wkwk blunder pilih kemarin nerusin ikn mending bngun kota ganti tukang sayur
dan untuk siapa capres yang akan gua pilih gua akan tetap merahasiakan pilihan gua tapi i wish siapapun nanti presiden nya plisss jangan stop pembangunan IKN DANN YANG PALING PENTING DARI GUA PILIH PEMIMPIN YANG NGGA ANTI KRITIK,Positif,capres pilih rahasia pilih wish presiden nya plisss stop bangun ikn dann pilih pimpin anti kritik
@qioraqira6 @aniesbaswedan IKN (inget kesulitan negara) dong..,Negatif,ikn inget sulit negara
@JackStand18 @KompasTV Ha ha ha doa 80% rakyat pendukung Jokowi ikn segera selesai tahap 1 biar tahap 2 dilanjut presiden PRABOWO.,Negatif,doa rakyat dukung jokowi ikn selesai tahap biar tahap presiden prabowo
@arifin34533 IKN dan borok jokowi se fokusnya. Sdh bukan rahasia lagi klo IKN itu ambisi jokowi dan udah bisa ditebak pasti jokowi punya borok,Negatif,ikn borok jokowi fokus rahasia ikn ambisi jokowi tebak jokowi borok
Duit buat bangun IKN yg ga berguna itu harusnya bisa untk hal yg jauh lebih bermanfaat semacam beasiswa atau paling gak subsidi UKT. Negara hadir kalau belum bisa menggratiskan paling tidak meringankan. Tapi si anu itu mikirnya gimana udh ga ngerti lagi saya..,Negatif,duit bangun ikn manfaat beasiswa subsidi ukt negara hadir gratis ringan mikirnya gimana ngerti
berbeda dari kebanyakan ortu ibukku malah ga ngizinin ikut test cpns lagi (takut dipindah ke ikn) oke buk aku yo emoh,Negatif,beda orang tua ibukku izin test cpns takut pindah ikn oke buk
@pemudajawa Coba pak mungkin di exercise sekolah kedinasan di segala K/L total habis brp T Siapa tau duitnya bisa buat bikin jalan di IKN sekaligus penyerapan lapangan kerja dengan CPNS lebih banyak,Negatif,coba exercise sekolah dinas total habis triliun duit bikin jalan ikn serap lapang kerja cpns
@Mdy_Asmara1701 @riv4lism Yg bener itu IKN spy jabatan tdk macet...,Negatif,bener ikn jabat macet
@tvOneNews Amin.. lanjutkan ikn,Positif,amin ikn
CPNS 2024 Akan Ditempatkan di IKN PANRB: Akan Mendapatkan Tunjangan Khusus https://t.co/qYOetoh3P5,Positif,cpns ikn panrb tunjang khusus
@yangmi3prnew Kenapa dinamai SEPAKU ? Pasti gag ada yg tahu bahkan inisiator IKN pun tak tahu Tapi tetep semoga bisa terlaksana Upacara 17 Agustus 2024,Negatif,nama paku inisiator ikn moga laksana upacara agustus
