"full_text","sentimen"
"@merseysideliv @strike_bravo_b Yes pemerataan itu urusan di atas meja. Mana-mana yang mau dijadikan prioritas bisa ditentukan dari mana saja. Coba saja biaya IKN kemarin jadi bantuan ke daerah-daerah bisa dapat berapa panjang jalan atau berapa saluran iri","Negatif"
"@UGM_FESS IKN bakala di lanjutin tapi untuk keperluan lain soalnya masih banyak yang lebih urgent","Negatif"
"@UGM_FESS Lebih takut makin banyak anggaran kebuanh buat proyek mercusuar ga sih? Bikin masjid di IKN aja hampir 1T.","Negatif"
"@kompascom Kebaca lah. Klo misal beneran meroket mungkin presiden lebih sibuk fokus di IKN daripada maksi bersama","Negatif"
"@dr_koko28 @jokowi @Kiyai_MarufAmin Gak nampak legacy kaya gitu pak dokter IKN tetep andalan!","Negatif"
"Rabu Indonesia 31 Januari #DemiIndonesia PEMILU Presiden RI APBN BUMN IKN Nusantara 0 KM 2024 Reformasi Belum Selesai SHP PIN Merah Putih #stamps #philately #gallery #art Rp 1 M Reformasi 09.09.99:09 Asembagus 68373 Sembilan Sembilan Situbondo Tapal Kuda Jawa Timur X Y Z https://t.co/4tFMo33BhK","Positif"
"Cerita Rozikin Awardee Beasiswa S2 LPDP yang Ingin Jadi Dosen Teknik Mesin di IKN https://t.co/jgq4suRAPf","Positif"
"@ahmed_maulana88 @kumparan Makanya jangan dukung mereka Kalimantan dibodohi dengan IKN yg hanya nguntungin pejabat aja sudah jadi pun IKN hanya kantor presiden dan ASN bukan tempat tinggal rakyat","Negatif"
"IKN !!! Penampakan View Rumah Tapak Jabatan Menteri di KIPP IKN terkini https://t.co/k3KMe8O8RZ via @YouTube","Positif"
"@UGM_FESS Menurt aku 01 itu mendahulukan prioritas dan mungkin akan tinjau ulang pembangunan IKN ini memang IKN sudah digagas dri lama tapi blum juga direalisasikan brrti ada yg lebih dan harus diprioritaskan dulu","Negatif"
"Apa Itu Pola Kerja Digital yang Diterapkan untuk Fase Pertama Pemindahan ASN ke IKN Nusantara? #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #ASNpindahIKN https://t.co/eOsNiaXHJr lewat @tribunkaltim","Positif"
"@AiraNtieReal Yang dibutuhkn solusi kang @ridwankamil pemuda pemudi harapan bangsa mereka punya hak Dan masa depannya dan negara harusnya hadir disitu. Bukan diajarkan berhutang hanya sekedar omon omon. Untuk apa IKN sementara anak bangsa di pinjolkan? Wa","Negatif"
"@Hansunriko IKN Nusantara🇮🇩️","Negatif"
"@dyingmagnolia_ @MrxStaein52986 @UGM_FESS yang ada di kalimantan khususnya daerah sekitar ikn baru muncul setelah uu ikn. dengan dibangun ikn karena bakal muncul satu pusat kota baru ekonomi daerah sekitarnya justru bakal berdampak banget. apalagi masalah","Positif"
"@kogoromilenial @RTPVX_ @ridwankamil Jakarta gak mau dia kirim aja ke IKN.","Negatif"
"IKN mantap","Positif"
