,after_detokenized
0,penampakan naga di ikn
1,pantesan mulyono gak betah di ikn
2,wisata ikn
3,sebagai anak kaltim orangorang suka heran sama preferensiku yg lebih milih perbaikan rs daerah amp bangun puskesmas dg fasilitas rawat inap ketimbang gedung kemenkes megah baru di ikn jawabannya
4,ikn bulan lagi
5,ikn bukan kota pertama yg pake konsep forest city malaysia udah pernah bikin bareng china biaya triliun rupiah x lbh besar dr estimasi biaya ikn lokasinya di pantai cuma menit dr singapur jauh lbh menarik dibanding ikn tapi kota itu skr mangkrak jadi kota hantu
6,masa sih ikn kayak gini haters ditunggu komennya
7,baru tahu ikn sdh habiskan duit apbn trilyun coba duit sebanyak ini utk bangun sekolah jalan di plosok yg rusak dan utk ciptakan lapangan kerja pasti lbh byk manfaatnya
8,baru liat malem ini kalau tadi sore pengukuhan paskibraka nasional di ikn semuaaaaaa peserta perempuan yg dikirim dr daerahnya berhijab tadi gak ada satupun yg berhijab
9,masa depan ikn
10,mulyono maksa gilagilaan bangun ikn sudah habis t sedang pajak naik menjadi hanya menghasilkan t jadi betapa biadabnya mulyono menyengsarakan rakyat
11,btw ini kondisi jalan di sekitar ikn menuju istana negara
12,pantes aja gak menang ada dia katanya di ikn
13,titip iknpsn titip sawitbatubaranikel titip uu ciptakerkpk titip anakku
14,bisa gak gempa megathrustnya di gedung dpr istana ikn sama rumah pejabat dan presiden aja
15,protes warga dayak terhadap otorita ikn yang memaksa rumah di wilayah ikn dibongkar dalam waktu hari
16,mobil rekayasa cuaca miliar sppd pejabat dan asn minggu akomodasi seluruh peserta pengerahan pasukan tni polri beserta armadanya biaya acara dll gw taksir miliar habis hanya utk acara seremonial an di ikn sementara itu gaji guru honorer tetap rb
17,sementara asn dipaksa transmigrasi ke ikn dia sendiri mau berlehaleha di rumah m di kampungnya di solo omonomon bangun rumah segitu gedenya buat dia pakai dana apbn artinya pakai uang pajak yang kita bayar
18,tahun jokowi travel jualan ikn ke asia timur tengah eropa amerika dan australia tapi gak ada satupun investor global yg tertarik ktk masa jabatannya udh mau selesai jokowi cuma bisa menghibur diri berpesta dgn orang yg paling mahir memuji dia
19,jawaban anies soal ikn negara berlaku otoriter dalam memutuskan uu ikn tanpa partisipasi publik jika ada masalah di jakarta maka selesaikan masalahnya bukan ditinggal apa pantas membangun istana amp gedung mewah untuk birokrat sementara rakyat sedang susah silahkan
20,untuk pengendara yang ingin melintas dari samarinda menuju penajam fia ikn pp sementara ini tidak bisa melintas dikarenakan jalan yang amblas wargabanuanews
21,semua pejabat kumpul di ikn lalu tiba terdengar lagu ini
22,gak kebayang kalo udah pada pindah ke ikn semenamena ee waka waka ee
23,ikn kabar terbarunya jadi background video cringe tiktoknya gibran
24,ngibulnya kebangetan opung aja nyerah utk ikn
25,pj bupati ppu minta tidak ganggu proyek ikn
26,cie pengen cepet pindah ke ikn biar gk khawatir klo ada yg demo
27,ave neohistorian belum lama ini presiden joko widodo mengatakan pembangunan istana presiden di ibu kota nusantara ikn dilakukan karena beliau ingin indonesia mempunyai gedung istana presiden yang bukan merupakan peninggalan kolonial demi kebanggaan dan harga diri bangsa
28,gamau pindah ke ikn ah ngapain bumble nya pasti sepi ntar
29,kalau jakarta tetep mau ibukota ngapain bikin ikn
30,belum juga pada pindah kesana jalan udah rusak saja nih sepaku ikn nov
31,tujuan ibu kota pindah ke ikn ni biar pada susah didemo kali ya
32,suami istri cekcok berujung istri minta cerai suami timpas dan penggal istrinya kepala istri ditenteng keluar rumah dan ditunjukkan ke penghuni mes sekitar long ikis paser kalimantan timur minggu oktober dekat ikn pelaku tahun korban tahun anak tahun
33,pernyataan masyarakat minangkabau meminta kepada presiden jokowi mundur dari jabatannya secara terhormat
34,daripada bikin ikn mending bikin ginian di tiap kabupaten
